Frame;Bin 1;Bin 2;Bin 3;Bin 4;Bin 5;Bin 6;Bin 7;Bin 8;Bin 9;Bin 10;Bin 11;Bin 12;Bin 13;Bin 14;Bin 15;Bin 16;Bin 17;Bin 18;Bin 19;Bin 20;Bin 21;Bin 22;Bin 23;Bin 24;Bin 25;Bin 26;Bin 27;Bin 28;Bin 29;Bin 30;Bin 31;Bin 32;Bin 33;Bin 34;Bin 35;Bin 36;Bin 37;Bin 38;Bin 39;Bin 40;Bin 41;Bin 42;Bin 43;Bin 44;Bin 45;Bin 46;Bin 47;Bin 48;Bin 49;Bin 50;Bin 51;Bin 52;Bin 53;Bin 54;Bin 55;Bin 56;Bin 57;Bin 58;Bin 59;Bin 60;Bin 61;Bin 62;Bin 63;Bin 64;Bin 65;Bin 66;Bin 67;Bin 68;Bin 69;Bin 70;Bin 71;Bin 72;Bin 73;Bin 74;Bin 75;Bin 76;Bin 77;Bin 78;Bin 79;Bin 80;Bin 81;Bin 82;Bin 83;Bin 84;Bin 85;Bin 86;Bin 87;Bin 88;Bin 89;Bin 90;Bin 91;Bin 92;Bin 93;Bin 94;Bin 95;Bin 96;Bin 97;Bin 98;Bin 99;Bin 100
11;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;9.68177;0.00000;5.34592;2.20812;0.00000;1.82410;0.00000;1.81209;1.92994;0.11358;0.00000;3.89588;1.22906;1.07575;2.04655;2.11513;2.87520;3.57058;0.00000;1.85238;0.99089;0.82682;0.79781;0.11935;1.94772;0.00000;0.21667;0.10510;0.15308;0.04959;0.04823;0.09389;0.00000;0.13371;0.17387;0.08484;0.00000;0.12141;0.03956;0.03869;0.11358;0.03706;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
12;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;3.76356;0.23473;2.46790;0.18531;6.32548;0.00000;3.63523;1.68427;3.13382;0.00000;0.00000;5.99348;0.00000;1.07575;0.08588;0.00000;2.09937;1.86020;3.64041;1.85238;0.85802;0.12803;1.53385;0.77077;0.05772;0.11178;0.85976;0.00000;0.00000;0.98547;0.09646;0.04695;0.13718;0.26741;0.08694;0.04242;0.04142;0.04047;0.03956;0.11607;0.03786;0.03706;0.03630;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
13;0.00000;0.00000;0.00000;0.00000;0.00000;4.44785;0.27084;0.00000;0.41423;0.00000;0.00000;0.00000;5.45424;8.02754;4.70193;2.70673;2.54269;2.49799;0.00000;1.07575;1.02328;0.00000;0.93232;1.78529;2.56863;0.89167;0.00000;0.06402;0.06177;1.60121;1.08930;0.16766;0.27084;0.10510;0.20411;0.93588;0.09646;0.04695;0.09145;0.13371;0.08694;0.00000;0.00000;0.04047;0.00000;0.03869;0.00000;0.03706;0.03630;0.00000;0.00000;0.03418;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
14;0.00000;0.00000;0.70419;0.00000;0.39122;0.00000;0.00000;0.00000;2.46790;5.15014;2.32983;0.00000;3.63523;3.10773;2.89340;1.35337;1.27134;1.19870;3.40170;0.09028;3.06983;2.03325;1.01056;1.04247;0.99992;0.96071;0.85802;0.82682;0.12354;0.71109;0.86094;0.05589;0.21667;1.04430;0.05103;0.09918;0.09646;0.09389;0.04573;0.08914;0.04347;0.67331;0.04142;0.00000;0.11868;0.07738;0.00000;0.03706;0.03630;0.00000;0.03486;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
15;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;6.45451;0.23473;5.34592;2.57507;0.16766;0.00000;5.73312;0.00000;0.00000;1.35337;2.54269;1.39989;3.40170;3.22726;0.00000;1.95136;1.86464;1.93512;1.99671;0.82263;0.92446;0.12803;0.98312;0.94980;0.00000;0.99883;0.16250;0.05255;0.25514;0.09918;0.04823;0.04695;0.09145;0.17828;0.04347;0.00000;0.00000;0.08094;0.03956;0.07738;0.00000;0.03706;0.03630;0.03557;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
16;0.00000;0.00000;0.00000;0.00000;0.00000;4.44785;4.03441;0.00000;0.00000;6.99132;0.00000;3.80129;0.00000;1.55386;1.56811;0.00000;2.86065;2.49799;1.22906;2.15150;1.19503;2.92705;0.93232;1.78529;1.78428;0.82263;0.06643;0.82682;0.12354;1.06655;0.11544;0.77772;0.05417;0.10510;0.20411;0.14877;0.09646;0.79207;0.13718;0.00000;0.08694;0.16968;0.04142;0.00000;0.03956;0.11607;0.03786;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
17;0.00000;16.30878;0.00000;0.00000;10.48907;0.00000;0.00000;0.00000;5.34592;0.18531;0.00000;1.82410;1.67817;3.23813;2.89340;1.46694;2.75396;1.19870;0.00000;5.37876;1.02328;2.11513;0.93232;0.14983;1.85613;1.02975;0.06643;0.82682;1.04220;0.83044;0.17316;0.99883;0.10834;0.15765;0.00000;0.19836;0.09646;0.00000;0.04573;0.08914;0.13041;0.12726;0.00000;0.04047;0.00000;0.00000;0.03786;0.03706;0.00000;0.03557;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
18;0.00000;13.98478;0.00000;0.00000;4.66159;0.32009;0.00000;3.26176;2.87802;2.57507;4.16331;0.00000;1.95705;3.10773;1.56811;1.35337;1.27134;1.29929;2.45812;0.09028;1.02328;1.95136;1.01056;1.86020;0.14371;2.60598;1.58318;0.00000;0.85958;0.05968;0.86094;0.11178;0.16250;0.83410;0.15308;0.09918;0.81377;0.04695;0.04573;0.08914;0.04347;0.04242;0.20711;0.08094;0.07912;0.07738;0.03786;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
19;0.00000;0.00000;9.78527;0.00000;0.39122;0.00000;0.27084;0.46946;0.00000;0.00000;5.99348;1.82410;1.67817;1.81209;7.71433;2.70673;0.00000;2.49799;0.00000;1.16603;2.04655;2.11513;1.01056;0.89265;0.85621;1.98744;1.64961;0.00000;1.90178;0.71109;0.05772;0.22355;0.21667;0.21021;0.10206;0.14877;0.09646;0.14084;0.04573;0.00000;0.04347;0.04242;0.08285;0.08094;0.00000;0.07738;0.03786;0.03706;0.00000;0.00000;0.00000;0.03418;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
20;0.00000;0.00000;0.70419;0.00000;9.32318;0.00000;0.00000;5.82864;0.00000;5.33545;0.00000;0.00000;0.00000;3.10773;6.26763;1.35337;0.10670;1.29929;1.13390;3.49810;1.02328;1.95136;0.00000;0.96756;0.92807;0.06904;1.78248;1.58963;0.12354;0.11935;1.43327;0.05589;0.10834;0.10510;1.01403;0.93588;0.04823;0.09389;0.13718;0.00000;0.04347;0.04242;0.04142;0.04047;0.11868;0.07738;0.00000;0.00000;0.03630;0.03557;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
