Frame;Bin 1;Bin 2;Bin 3;Bin 4;Bin 5;Bin 6;Bin 7;Bin 8;Bin 9;Bin 10;Bin 11;Bin 12;Bin 13;Bin 14;Bin 15;Bin 16;Bin 17;Bin 18;Bin 19;Bin 20;Bin 21;Bin 22;Bin 23;Bin 24;Bin 25;Bin 26;Bin 27;Bin 28;Bin 29;Bin 30;Bin 31;Bin 32;Bin 33;Bin 34;Bin 35;Bin 36;Bin 37;Bin 38;Bin 39;Bin 40
21;0.00000;0.00000;12.01100;29.02200;50.04000;28.03400;12.01100;48.04400;78.11400;37.04100;39.05700;55.05600;8.06400;20.03100;2.01600;3.02400;3.02400;8.06400;2.01600;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;1.00800;0.00000;38.02900;41.03300;26.01800;26.03800;24.02200;60.05500;62.07100;15.03500;54.04800;34.05800;17.05100;4.03200;7.05600;1.00800;6.04800;3.02400;3.02400;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0.00000;26.01800;38.02900;65.05500;1.00800;12.01100;13.01900;61.06300;64.08700;38.04900;41.07300;50.05700;1.00800;3.02400;8.06400;7.05600;4.03200;1.00800;3.02400;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0.00000;0.00000;66.04300;0.00000;14.00700;24.02200;14.02700;76.09800;75.09000;63.07900;14.02700;15.03500;16.04300;21.03900;3.02400;19.02300;9.07200;5.04000;3.02400;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0.00000;12.01100;14.00700;52.03600;38.02900;2.01600;12.01100;50.06000;76.09800;17.05100;50.06000;66.05900;19.02300;3.02400;4.03200;8.06400;3.02400;6.04800;2.01600;3.02400;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0.00000;0.00000;40.02500;26.01800;51.04800;12.01100;52.07600;60.05500;52.07600;25.03000;51.06800;6.04800;4.03200;8.06400;35.02200;6.04800;3.02400;2.01600;4.03200;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;14.00700;14.00700;26.01800;27.02600;38.02900;1.00800;60.05500;37.04100;39.05700;52.07600;26.03800;40.06500;5.04000;20.03100;21.03900;6.04800;6.04800;3.02400;3.02400;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;14.00700;0.00000;15.01500;49.05200;28.01400;24.02200;25.03000;48.04400;26.03800;51.06800;64.08700;16.04300;7.05600;22.04700;5.04000;5.04000;18.01500;3.02400;1.00800;4.03200;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;14.00700;1.00800;52.03600;16.02300;0.00000;49.05200;36.03300;39.05700;72.06600;38.04900;43.08900;14.02700;20.03100;22.04700;3.02400;8.06400;3.02400;3.02400;4.03200;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0.00000;0.00000;36.03300;38.02900;12.01100;30.03000;27.02600;38.04900;63.07900;72.06600;54.09200;16.04300;38.04600;5.04000;4.03200;3.02400;6.04800;4.03200;5.04000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0.00000;0.00000;15.01500;13.01900;52.03600;51.04800;24.02200;48.04400;13.01900;91.13300;40.06500;40.06500;3.02400;15.99900;22.04700;10.08000;3.02400;3.02400;4.03200;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0.00000;0.00000;15.01500;2.01600;26.01800;114.10700;73.07400;12.01100;12.01100;72.06600;13.01900;29.06200;25.07100;8.06400;22.04700;5.04000;2.01600;1.00800;2.01600;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;1.00800;1.00800;0.00000;40.02500;14.00700;74.06200;36.03300;37.04100;73.07400;29.06200;28.05400;26.03800;16.04300;25.07100;4.03200;5.04000;17.00700;4.03200;2.01600;2.01600;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0.00000;0.00000;24.02200;41.03300;13.01900;29.02200;37.04100;85.08500;36.03300;66.05900;27.04600;33.09400;20.03100;7.05600;4.03200;6.04800;1.00800;3.02400;2.01600;3.02400;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0.00000;0.00000;29.02200;38.02900;25.03000;25.03000;28.03400;61.06300;62.07100;49.05200;13.01900;33.05000;16.04300;7.05600;22.04700;3.02400;7.05600;1.00800;4.03200;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;14.00700;27.02600;0.00000;27.02600;24.02200;49.05200;51.04800;60.05500;50.06000;28.05400;16.04300;44.05300;21.03900;5.04000;6.04800;3.02400;6.04800;1.00800;2.01600;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;12.01100;12.01100;15.01500;28.01400;39.03700;37.04100;24.02200;40.06500;49.05200;27.04600;62.07100;15.03500;18.05900;21.03900;20.03100;3.02400;7.05600;4.03200;3.02400;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0.00000;15.01500;1.00800;2.01600;60.05500;78.05400;36.03300;26.03800;50.06000;37.04100;54.04800;43.04500;9.07200;6.04800;6.04800;3.02400;3.02400;3.02400;4.03200;0.00000;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0.00000;25.03000;13.01900;41.03300;0.00000;76.05800;26.03800;51.06800;36.03300;26.03800;53.08400;4.03200;27.04600;23.05500;21.03900;4.03200;2.01600;5.04000;2.01600;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0.00000;13.01900;29.02200;12.01100;27.02600;27.02600;73.07400;61.06300;51.06800;40.02100;40.06500;4.03200;18.05900;18.01500;6.04800;7.05600;4.03200;2.01600;2.01600;0.00000;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;0.00000;0.00000;43.02900;12.01100;40.04500;48.04400;13.01900;50.06000;63.07900;49.05200;38.04900;16.04300;5.04000;21.03900;6.04800;4.03200;23.05500;7.05600;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0.00000;0.00000;15.01500;24.02200;14.02700;54.05200;87.08100;36.03300;36.03300;15.03500;75.09000;29.01800;26.07900;3.02400;6.04800;6.04800;3.02400;4.03200;1.00800;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0.00000;1.00800;26.01800;13.01900;26.01800;39.03700;38.04900;79.10200;25.03000;85.08500;28.05400;13.01900;18.01500;24.06300;6.04800;5.04000;4.03200;3.02400;2.01600;3.02400;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0.00000;14.00700;26.03800;40.02500;12.01100;55.06000;0.00000;76.05400;64.08700;48.04400;51.06800;3.02400;4.03200;3.02400;24.06300;4.03200;6.04800;4.03200;3.02400;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0.00000;13.01900;26.01800;29.02200;12.01100;48.04400;62.05100;38.04900;29.06200;38.04900;50.06000;18.05900;15.03500;23.05500;17.00700;4.03200;8.06400;3.02400;3.02400;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;14.00700;14.00700;37.04100;43.04900;24.02200;14.02700;25.03000;62.07100;60.05500;1.00800;52.07600;45.06100;5.04000;20.03100;4.03200;5.04000;5.04000;2.01600;4.03200;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;12.01100;0.00000;36.03300;42.04100;26.01800;14.00700;61.06300;50.06000;39.05700;39.05700;56.06400;7.05600;6.04800;17.00700;6.04800;6.04800;1.00800;2.01600;2.01600;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;14.00700;0.00000;14.00700;1.00800;65.05500;25.03000;36.03300;39.05700;49.05200;50.06000;55.05600;16.04300;16.04300;6.04800;5.04000;21.03900;5.04000;3.02400;2.01600;1.00800;1.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;1.00800;14.00700;14.00700;15.01500;27.02600;61.06300;38.04900;84.07700;37.04100;13.01900;42.08100;12.01100;3.02400;26.07900;21.03900;7.05600;3.02400;3.02400;3.02400;1.00800;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0.00000;26.01800;27.02600;12.01100;0.00000;53.04400;13.01900;38.04900;26.03800;108.09900;54.09200;3.02400;17.00700;20.03100;8.06400;6.04800;4.03200;4.03200;2.01600;2.01600;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
